fireyear,area_km2
2018,0.32266556136610375
2018,0.0008169686876736184
2017,0.3358738508621167
2017,0.022171333799168465
2017,0.5128523761480879
2017,0.017442735010610073
2017,12.459613980836293
2018,75.68389769152505
2012,313.9299317661547
2017,0.37950978648050343
2013,0.2601062984597578
2018,0.7594973377249151
2017,0.5445248647165352
2017,0.24618752181997686
2008,2.5618577769244704
2018,0.4506779340574054
2017,0.2464392804404888
2017,13.345682966748647
2017,1140.7835608342805
2011,0.0032018479172915516
2011,286.390237530791
2011,19.647298564621988
2017,0.19009493669885152
2017,53.327413190574354
2017,0.8350843493547901
2018,0.07267408180919877
2018,0.016331727963646334
2018,0.0019096006276476342
2018,0.0005555062892340413
2011,0.1812329669073631
2017,16.29724273502329
2017,0.22496305886617024
2018,0.1208191227136143
2018,0.11777539877251365
2017,0.12736475146382997
2017,0.24740074867324174
2018,55.27297768738138
2018,140.60736882397512
2017,0.06179431584064965
2012,0.03645320231116093
2018,0.34770992454449845
2018,0.107269539975518
2018,17.634886100147135
2015,0.5055725074288622
2017,9.789597983249442
2011,0.6100767810356024
2011,0.02079950669883677
2018,0.09679263519859989
2017,0.13464541226613386
2017,0.05544210196571967
2017,0.41448543721387854
2011,0.0019842226688353564
2011,0.3702068729679587
2011,0.773529270016699
2014,0.010386324952821815
2017,39.97889703534505
2017,0.04235939797606386
2018,0.3599975345842019
2017,0.01842776733085218
2017,0.010129977736745111
2011,0.0003081268442381337
2017,0.0027583934523414517
2017,5.984449791390519
2017,0.32184491943503996
2016,0.00035146626790585146
2016,0.8197566043966662
2016,0.32681507467465404
2016,4.4921781520863355
2016,13.21227427662606
2016,1.4966373311190588
2016,3.2292923991653764
2018,0.0026991814490468884
2018,8.403573111218646
2016,3.044665114494347
2016,0.2865185497652894
2006,0.2564972802302366
2016,1.9819312814865229
2016,0.8808984090874276
2016,1.4718254290634074
2016,0.09031998966937428
2016,0.2018581594231194
2016,5.1097229930791634
2016,0.09722667950826834
2016,5.342065849994407
2017,0.05385121633988998
2017,0.0035928275598695464
2017,0.007659776944879364
2017,0.47230003884698324
2017,179.0172508045097
2017,2681.416757572289
2005,670.5872615519164
2016,0.6051307871664784
2018,2.912862388273091
2016,15.10837503864541
2016,45.43591049552647
2016,0.12218530327482754
2018,0.1865480859376915
2016,7.649014149081342
2016,2.1885344711410473
2016,0.024132464422352888
2015,23.822357044128662
2015,0.21149539930500638
2015,0.4499720905467973
2018,0.1561279807703007
2018,7.007913438973104
2015,0.5925752869865738
2015,4.236204714939269
2015,2.240495446651456
2015,0.049965605787918685
2017,1140.3872739562735
2018,240.3784643433754
2015,2.0155496151580485
2005,24.954210578145933
2015,0.3715587392301439
2015,2.0737449626752
2015,0.03771074228308984
2018,0.055048003915399636
2015,0.19468850576090457
2015,0.8630360808754182
2015,0.03289780377280738
2015,0.17031953057045351
2015,0.1047673731694002
2015,0.059609107448644755
2015,0.08356446499007031
2017,0.9905861903469728
2018,0.04799885871626707
2017,0.21277641575095976
2017,0.5123125030301403
2015,2.5530833598926495
2017,14.622527017981453
2015,0.08585645456799494
2015,0.3070829919891409
2015,0.34293063557672915
2015,0.009930592142876036
2015,0.04764376941293377
2015,0.33402566365773095
2012,0.6785018916313047
2012,32.11024748263907
2018,4.625239339130446
2017,3.368688445275175
2016,0.0010808613622271593
2012,13.806517385177232
2017,10.455014744642071
2016,0.0014320587748828046
2012,0.09871654002053014
2017,3.8198345073939532
2011,0.010542734489795315
2018,0.33616145541218934
2011,2.1634390203567015
2011,0.03341913588965616
2011,0.0007452884727321658
2011,0.30562610754969977
2011,0.08993390003275749
2010,31.915242853947575
2010,0.4558202106315216
2016,1.0242434150567574
2010,0.3482934375033495
2010,2.719508574227562
2010,0.014682486857461853
2010,0.0408764118554874
2010,2.281748383199608
2018,113.72679572172646
2018,4.064094372073408e-05
2010,0.4566963085252415
2010,0.020620797537135006
2010,0.09068145961029662
2018,0.6191914429174095
2018,6.968060791450976
2018,0.11702336119448567
2016,0.17073426670585917
2018,3.1610458302521867
2018,0.06273210885590152
2017,0.05486544565371441
2017,0.0072591878702908275
2016,18.496813062447274
2015,18.706424509362762
2018,0.019025912562511193
2018,0.5840820628379312
2005,18.893932530963504
2018,9.592090569142899
2015,379.1292491214252
2018,1.2307278680468279
2016,0.38295998440698953
2017,46.59165737076662
2017,212.2006281617161
2018,64.13757843910265
2018,1.358829469350997
2016,0.21420451501698318
2018,0.006540009024048468
2014,0.5001326410181347
2014,20.568326994940048
2018,0.1291313656645138
2014,491.2506915834917
2012,0.37927490292356164
2009,252.17321580683765
2017,0.014358223328413864
2017,0.004533987755095017
2017,0.10227898957361078
2017,2.8640533055893576
2017,0.35209340653402776
2012,0.02329225312201157
2012,0.003849364588243607
2016,0.4534623664916063
2018,12.565065405318016
2018,0.09273354864979191
2018,0.4114492265584501
2018,3.6656257425807977
2015,0.14396356010019473
2018,3.677120077570661
2018,0.01934876326174712
2018,290.17838376044426
2013,0.00890469920082796
2018,9.152266706667593
2018,0.0847154609093989
2017,3.5584368497655237
2017,28.983652221963503
2018,0.313846049936344
2018,9.66453449176747
2015,313.54219288850965
2015,281.0062945534554
2012,0.19256154884181634
2018,15.602632711144834
2018,0.07291800487252846
2018,0.2497429326848301
2011,0.02139936681148026
2018,6.617010878752668
2018,0.0002947131443126206
2018,0.18086611610757364
2018,1.732543267137775
2017,0.18029905053917158
2009,2.4688552076003165
2018,12.70327853946617
2017,2.0275933349721758
2017,0.16524704603700072
2015,0.15741681736873148
2018,3.961782320410694
2011,0.0008889494577483308
2018,0.4066432413813841
2018,0.0024098969900618666
2018,159.19049739144518
2018,15.604607231966487
2018,0.3299462215993613
2017,57.08155581025753
2018,2.979686113493188
2014,136.76388910056417
2018,0.05064187876010551
2011,0.0005591720169221136
